cross_table.id,cross_table.title
,КДП 
,РШ 1Р
,РШ 2Р
,РШ 3Р
,РШ 4Р
,РШ 5Р
,РШ 6Р
,ЛАЗ
,ЦКП
,ЛАЗ АТС
,РШ1А
,РШ1Б
,РШ2А
,РШ2Б
,ЦКПР
,ВС
,5 пов КДП
,СКМЗ
,ОГМД(ПРЦ)
